Cellular_location
Cell membrane
Membrane
Membrane
Membrane
Membrane
Secreted
Cytoplasmic
Cytoplasmic
Cell membrane
Cell membrane
Cell membrane
Membrane
Membrane
Cell membrane
Secreted
Cell membrane
Cell membrane
Membrane
Cell membrane
Cell membrane
Secreted
Cell membrane
Secreted
Cell membrane
Cell membrane
Cell membrane
Secreted
Membrane
""
Cytoplasm
Mitochondrion matrix
Cell membrane
Cell membrane
Cell membrane
Cell membrane
Membrane
Secreted
Cell membrane
Cell membrane
Cell membrane
Secreted
Secreted
Secreted
Secreted
Secreted
Cell membrane
Cell membrane
Cell membrane
Membrane
Membrane
Membrane
Membrane
Cell membrane
Membrane
Membrane
Membrane
Secreted
Cell membrane
Cell membrane
Membrane
Membrane
Membrane
Cytoplasm
Late endosome membrane
Cell membrane
Cell membrane
Cell membrane
Secreted
Membrane
Membrane
Cell membrane
Cell membrane
Cell membrane
Cell membrane
Membrane
Membrane
Cell membrane
Cell membrane
Membrane
Cell membrane
Cell membrane
Secreted
Cell membrane
Cell membrane
Secreted
Secreted
Secreted
Membrane
Secreted
Secreted
Secreted
Secreted
Cytoplasm
Membrane
Cell membrane
Cell membrane
Secreted
Secreted
Secreted
Cell membrane
Cell membrane
Cell membrane
Cell membrane
Membrane
Membrane
Membrane
Secreted
Membrane
""
Cytoplasm
Mitochondrion matrix
Membrane
Membrane
Membrane
Membrane
Cell membrane
Membrane
Cell membrane
Cell membrane
Secreted
Cell membrane
Cell membrane
Membrane
Membrane
Secreted
Secreted
Secreted
Cell membrane
Cell membrane
Secreted
Membrane
Membrane
Cell membrane
Membrane
Membrane
Membrane
Membrane
Secreted
Secreted
